timestamp ecg
643708958855832332 -97
643708958863518199 -80
643708958871204066 -92
643708958878889933 -118
643708958886575800 -121
643708958894261667 -99
643708958901947534 -87
643708958909633401 -94
643708958917319268 -97
643708958925005135 -97
643708958932691002 -106
643708958940376869 -109
643708958948062736 -99
643708958955748603 -89
643708958963434522 -82
643708958971120389 -75
643708958978806256 -77
643708958986492123 -89
643708958994177990 -94
643708959001863857 -87
643708959009549724 -75
643708959017235591 -80
643708959024921458 -87
643708959032607325 -77
643708959040293192 -70
643708959047979059 -84
643708959055664926 -89
643708959063350793 -82
643708959071036660 -75
643708959078722527 -70
643708959086408394 -75
643708959094094261 -77
643708959101780128 -75
643708959109465995 -77
643708959117151862 -72
643708959124837729 -67
643708959132523596 -77
643708959140209463 -77
643708959147895330 -67
643708959155581197 -70
643708959163267064 -75
643708959170952931 -72
643708959178638798 -67
643708959186324665 -67
643708959194010532 -67
643708959201696399 -65
643708959209382266 -58
643708959217068133 -53
643708959224754000 -53
643708959232439867 -63
643708959240125734 -63
643708959247811601 -63
643708959255497468 -70
643708959263183335 -63
643708959270869202 -36
643708959278555069 -38
643708959286240936 -63
643708959293926803 -63
643708959301612670 -46
643708959309298537 -48
643708959316984404 -58
643708959324670271 -58
643708959332356138 -58
643708959340042005 -55
643708959347727872 -36
643708959355413739 -31
643708959363099606 -55
643708959370785473 -77
643708959378471340 -84
643708959386157207 -75
643708959393843074 -48
643708959401528941 -26
643708959409214808 -24
643708959416900675 -7
643708959424586542 2
643708959432272409 -26
643708959439958276 -50
643708959447644143 -41
643708959455330010 -29
643708959463015877 -36
643708959470701744 -63
643708959478387611 -99
643708959486073478 -106
643708959493759345 97
643708959501445212 686
643708959509131079 1486
643708959516816946 1901
643708959524502865 1338
643708959532188732 210
643708959539874599 -307
643708959547560466 -157
643708959555246333 -133
643708959562932200 -254
643708959570618067 -218
643708959578303934 -184
643708959585989801 -230
643708959593675668 -227
643708959601361535 -189
643708959609047402 -186
643708959616733269 -186
643708959624419136 -172
643708959632105003 -164
643708959639790870 -164
643708959647476737 -152
643708959655162604 -130
643708959662848471 -113
643708959670534338 -116
643708959678220205 -109
643708959685906072 -75
643708959693591939 -38
643708959701277806 -24
643708959708963673 -19
643708959716649540 9
643708959724335407 70
643708959732021274 118
643708959739707141 140
643708959747393008 177
643708959755078875 237
643708959762764742 278
643708959770450609 300
643708959778136476 320
643708959785822343 307
643708959793508210 244
643708959801194077 150
643708959808879944 41
643708959816565811 -60
643708959824251678 -143
643708959831937545 -198
643708959839623412 -230
643708959847309279 -247
643708959854995146 -257
643708959862681013 -252
643708959870366880 -249
643708959878052747 -254
643708959885738614 -240
643708959893424481 -225
643708959901110348 -232
643708959908796215 -232
